Koskinen, T.T., Strobel, D.F., Brown, Z., 2021. An empirical model of the Saturn thermosphere
 
Occultation: ST92
 
See bottom of this file for more information on the header labels.
 
Isothermal fit temperature (1800-2800 km): 576 (21) K
 
Alt(km)  Rad(km)  Lat(deg)  Lon(deg)  Nden(m-3)  dNden(m-3)  Temp(K)  dTemp(K)  FMNden(m-3)  FMTemp(K)
     147       9
       2269.03      57434.84       66.20       56.68    0.0000e+00    0.0000e+00      564.63       28.87    9.5070e+13      564.21
       2284.82      57450.85       66.20       56.59    0.0000e+00    0.0000e+00      564.53       29.36    8.8273e+13      564.63
       2300.68      57466.86       66.19       56.49    0.0000e+00    0.0000e+00      564.45       30.03    8.1942e+13      565.04
       2316.56      57482.87       66.19       56.40    0.0000e+00    0.0000e+00      564.39       30.16    7.6071e+13      565.44
       2332.37      57498.88       66.19       56.31    0.0000e+00    0.0000e+00      564.34       29.45    7.0648e+13      565.82
       2348.19      57514.89       66.19       56.22    0.0000e+00    0.0000e+00      564.32       31.81    6.5617e+13      566.19
       2364.02      57530.90       66.19       56.13    0.0000e+00    0.0000e+00      564.31       33.02    6.0948e+13      566.55
       2379.87      57546.91       66.18       56.04    0.0000e+00    0.0000e+00      564.35       35.67    5.6615e+13      566.89
       2395.72      57562.92       66.18       55.94    0.0000e+00    0.0000e+00      564.43       38.27    5.2593e+13      567.22
       2411.58      57578.94       66.18       55.85    0.0000e+00    0.0000e+00      564.55       39.84    4.8860e+13      567.54
       2427.45      57594.96       66.18       55.76    0.0000e+00    0.0000e+00      564.69       41.31    4.5394e+13      567.85
       2443.25      57610.96       66.18       55.67    0.0000e+00    0.0000e+00      564.90       43.61    4.2191e+13      568.15
       2459.07      57626.97       66.17       55.58    0.0000e+00    0.0000e+00      565.17       44.46    3.9215e+13      568.43
       2474.97      57642.98       66.17       55.49    0.0000e+00    0.0000e+00      565.49       43.54    3.6440e+13      568.71
       2490.80      57658.99       66.17       55.39    0.0000e+00    0.0000e+00      565.89       44.35    3.3873e+13      568.98
       2506.65      57675.01       66.17       55.30    0.0000e+00    0.0000e+00      566.36       45.95    3.1489e+13      569.24
       2522.43      57691.02       66.16       55.21    0.0000e+00    0.0000e+00      566.91       47.74    2.9283e+13      569.48
       2538.29      57707.03       66.16       55.12    0.0000e+00    0.0000e+00      567.54       50.33    2.7225e+13      569.72
       2554.16      57723.04       66.16       55.03    0.0000e+00    0.0000e+00      568.27       52.78    2.5312e+13      569.95
       2569.97      57739.05       66.16       54.94    0.0000e+00    0.0000e+00      569.13       54.63    2.3542e+13      570.18
       2585.86      57755.07       66.16       54.84    0.0000e+00    0.0000e+00      570.16       55.72    2.1889e+13      570.39
       2601.69      57771.08       66.15       54.75    0.0000e+00    0.0000e+00      571.40       54.51    2.0360e+13      570.60
       2617.53      57787.09       66.15       54.66    0.0000e+00    0.0000e+00      572.76       56.27    1.8939e+13      570.80
       2633.38      57803.11       66.15       54.57    0.0000e+00    0.0000e+00      573.86       62.20    1.7617e+13      570.99
       2649.24      57819.12       66.15       54.48    0.0000e+00    0.0000e+00      574.21       64.39    1.6388e+13      571.18
       2665.03      57835.13       66.15       54.39    0.0000e+00    0.0000e+00      574.32       61.66    1.5250e+13      571.36
       2680.90      57851.14       66.14       54.29    0.0000e+00    0.0000e+00        0.00        0.00    1.4187e+13      571.53
       2696.72      57867.16       66.14       54.20    0.0000e+00    0.0000e+00        0.00        0.00    1.3203e+13      571.70
       2712.61      57883.17       66.14       54.11    0.0000e+00    0.0000e+00        0.00        0.00    1.2283e+13      571.86
       2728.44      57899.19       66.14       54.02    0.0000e+00    0.0000e+00        0.00        0.00    1.1432e+13      572.02
       2744.28      57915.20       66.14       53.93    0.0000e+00    0.0000e+00        0.00        0.00    1.0640e+13      572.17
       2760.13      57931.21       66.13       53.84    0.0000e+00    0.0000e+00        0.00        0.00    9.9027e+12      572.31
       2775.99      57947.23       66.13       53.74    0.0000e+00    0.0000e+00        0.00        0.00    9.2169e+12      572.45
       2791.79      57963.24       66.13       53.65    0.0000e+00    0.0000e+00        0.00        0.00    8.5815e+12      572.59
       2807.66      57979.26       66.13       53.56    0.0000e+00    0.0000e+00        0.00        0.00    7.9876e+12      572.72
       2823.48      57995.27       66.13       53.47    0.0000e+00    0.0000e+00        0.00        0.00    7.4373e+12      572.84
       2839.37      58011.28       66.12       53.38    0.0000e+00    0.0000e+00        0.00        0.00    6.9229e+12      572.97
       2855.21      58027.30       66.12       53.29    0.0000e+00    0.0000e+00        0.00        0.00    6.4462e+12      573.08
       2871.05      58043.31       66.12       53.20    0.0000e+00    0.0000e+00        0.00        0.00    6.0025e+12      573.19
       2886.90      58059.33       66.12       53.10    0.0000e+00    0.0000e+00        0.00        0.00    5.5894e+12      573.30
       2902.76      58075.34       66.11       53.01    0.0000e+00    0.0000e+00        0.00        0.00    5.2048e+12      573.41
       2918.56      58091.36       66.11       52.92    0.0000e+00    0.0000e+00        0.00        0.00    4.8483e+12      573.51
       2934.44      58107.37       66.11       52.83    0.0000e+00    0.0000e+00        0.00        0.00    4.5149e+12      573.61
       2950.26      58123.39       66.11       52.74    0.0000e+00    0.0000e+00        0.00        0.00    4.2058e+12      573.70
       2966.08      58139.40       66.11       52.65    0.0000e+00    0.0000e+00        0.00        0.00    3.9179e+12      573.79
       2981.99      58155.42       66.10       52.56    0.0000e+00    0.0000e+00        0.00        0.00    3.6486e+12      573.88
       2997.83      58171.44       66.10       52.46    0.0000e+00    0.0000e+00        0.00        0.00    3.3990e+12      573.96
 
Lon, lat: NAIF planetocentric as returned by NPEDLN and converted by RECLAT.
Nden,dNden: Direct retrieval (inversion) number density and uncertainty.
Temp,dTemp: Direct retrieval (inversion) temperature.
FMNden: Forward model number density.  Note that this extends to higher altitudes than direct retrieval.  It is best fit, NOT extrapolation. Transmission gets too noisy for direct inversion at high altitudes.
FMTemp: Forward model temperature profile.  This can be treated as the mean state.  High altitude shape may be uncertain for low S/N occultations.
See Appendix in Koskinen et al.(2015) for details.
