altitude_km,density_kg_m3,density_H2only_kg_m3,nH2_m-3,temperature_K,lat_deg,lon_deg,radius_km,data_type,occultation,source_file
1436.99,1.0033521016795198e-10,9.793292387210649e-11,2.9256e+16,422.04,80.64,-74.1,55928.76,INV,ST101,EUV2017_216_16_10_45_ST101
1450.63,9.761899857193688e-11,9.528174545719304e-11,2.8464e+16,425.45,80.64,-74.21,55942.44,INV,ST101,EUV2017_216_16_10_45_ST101
1464.11,9.056782301460473e-11,8.839939341039747e-11,2.6408e+16,421.41,80.63,-74.32,55956.11,INV,ST101,EUV2017_216_16_10_45_ST101
1477.75,7.678442098886645e-11,7.494600193370906e-11,2.2389e+16,421.22,80.63,-74.43,55969.79,INV,ST101,EUV2017_216_16_10_45_ST101
1491.22,6.948288754452786e-11,6.781928621988233e-11,2.026e+16,429.34,80.62,-74.53,55983.47,INV,ST101,EUV2017_216_16_10_45_ST101
1504.86,6.882098244600399e-11,6.717322885362186e-11,2.0067e+16,432.78,80.62,-74.64,55997.14,INV,ST101,EUV2017_216_16_10_45_ST101
1518.33,6.525423994618616e-11,6.369188346030114e-11,1.9027e+16,431.39,80.62,-74.75,56010.82,INV,ST101,EUV2017_216_16_10_45_ST101
1531.96,5.5949843405796033e-11,5.4610258410225096e-11,1.6314e+16,430.07,80.61,-74.86,56024.5,INV,ST101,EUV2017_216_16_10_45_ST101
1545.42,4.4903230336648736e-11,4.382813003341162e-11,1.3093e+16,425.77,80.61,-74.96,56038.18,INV,ST101,EUV2017_216_16_10_45_ST101
1559.05,4.3764616384783814e-11,4.2716777465543856e-11,1.2761e+16,426.06,80.6,-75.07,56051.85,INV,ST101,EUV2017_216_16_10_45_ST101
1572.67,4.594581660582625e-11,4.484575407145921e-11,1.3397e+16,434.43,80.6,-75.18,56065.53,INV,ST101,EUV2017_216_16_10_45_ST101
1586.13,4.155597968297355e-11,4.0561021279679874e-11,1.2117e+16,455.47,80.6,-75.29,56079.21,INV,ST101,EUV2017_216_16_10_45_ST101
1599.76,3.592464200537657e-11,3.506451249522544e-11,1.0475e+16,475.03,80.59,-75.39,56092.89,INV,ST101,EUV2017_216_16_10_45_ST101
1613.37,2.989513240063647e-11,2.917936505676665e-11,8716900000000000.0,475.17,80.59,-75.5,56106.57,INV,ST101,EUV2017_216_16_10_45_ST101
1626.83,2.5122556571072556e-11,2.4521057124704052e-11,7325300000000000.0,451.97,80.58,-75.61,56120.25,INV,ST101,EUV2017_216_16_10_45_ST101
1640.44,2.406419432545354e-11,2.3488034828186002e-11,7016700000000000.0,419.71,80.58,-75.72,56133.94,INV,ST101,EUV2017_216_16_10_45_ST101
1654.06,2.2913576913252695e-11,2.2364966194090714e-11,6681200000000000.0,417.56,80.58,-75.82,56147.62,INV,ST101,EUV2017_216_16_10_45_ST101
1667.67,2.6750568748633632e-11,2.6110090449905342e-11,7800000000000000.0,423.76,80.57,-75.93,56161.3,INV,ST101,EUV2017_216_16_10_45_ST101
1681.11,3.102311471620385e-11,3.028034053740432e-11,9045800000000000.0,418.56,80.57,-76.04,56174.98,INV,ST101,EUV2017_216_16_10_45_ST101
1694.72,2.819304172500226e-11,2.7518026865704084e-11,8220600000000000.0,402.62,80.57,-76.15,56188.66,INV,ST101,EUV2017_216_16_10_45_ST101
1708.32,1.8831028574999685e-11,1.838016469773593e-11,5490800000000000.0,389.72,80.56,-76.25,56202.35,INV,ST101,EUV2017_216_16_10_45_ST101
1721.93,1.00815348581389e-11,9.840156652120736e-12,2939600000000000.0,390.97,80.56,-76.36,56216.03,INV,ST101,EUV2017_216_16_10_45_ST101
1735.53,1.3464109980802662e-11,1.314174411503633e-11,3925900000000000.0,402.02,80.55,-76.47,56229.72,INV,ST101,EUV2017_216_16_10_45_ST101
